offline_datapoint_11 1684320467 623212,000
offline_datapoint_5 1684320467 2255,000
offline_datapoint_26 1684320467 441323520,000
offline_datapoint_14 1684320467 207572992,000
offline_datapoint_3 1684320467 6409314304,000
offline_datapoint_9 1684320467 185356288,000
offline_datapoint_25 1684320467 4521,000
offline_datapoint_19 1684320465 226,759
offline_datapoint_8 1684320465 24663,230
offline_datapoint_21 1684320467 185356288,000
offline_datapoint_1 1684320465 35,118
offline_datapoint_20 1684320467 3309707264,000
offline_datapoint_7 1684320467 4678057984,000
offline_datapoint_6 1684320465 0,131
offline_datapoint_12 1684320465 32,974
offline_datapoint_24 1684320465 14,633
offline_datapoint_13 1684320465 8598,451
offline_datapoint_18 1684320467 0,000
offline_datapoint_0 1684320465 14640,344
offline_datapoint_16 1684320465 1499,018
offline_datapoint_28 1684320465 11,034
offline_datapoint_17 1684320465 48,161
offline_datapoint_10 1684320465 92,289
offline_datapoint_29 1684320465 2,007
offline_datapoint_22 1684320465 33024,000
offline_datapoint_4 1684320465 0,221
offline_datapoint_11 1684320470 623212,000
offline_datapoint_5 1684320470 2259,000
offline_datapoint_26 1684320470 441540608,000
offline_datapoint_14 1684320470 208281600,000
offline_datapoint_3 1684320470 6420811776,000
offline_datapoint_9 1684320470 184995840,000
offline_datapoint_25 1684320470 4520,000
offline_datapoint_19 1684320468 11,983
offline_datapoint_8 1684320468 9564,264
offline_datapoint_21 1684320470 184995840,000
offline_datapoint_1 1684320468 2,663
offline_datapoint_20 1684320470 3319701504,000
offline_datapoint_7 1684320470 4665696256,000
offline_datapoint_6 1684320468 0,130
offline_datapoint_12 1684320468 10,548
offline_datapoint_24 1684320468 5,461
offline_datapoint_13 1684320468 5442,373
offline_datapoint_18 1684320470 0,000
offline_datapoint_0 1684320468 8224,475
offline_datapoint_16 1684320468 1151,719
offline_datapoint_28 1684320468 1,655
offline_datapoint_17 1684320468 36,948
offline_datapoint_10 1684320468 97,324
offline_datapoint_29 1684320468 6,324
offline_datapoint_22 1684320468 12693,910
offline_datapoint_4 1684320468 0,033
offline_datapoint_11 1684320473 623212,000
offline_datapoint_5 1684320473 2259,000
offline_datapoint_26 1684320473 441634816,000
offline_datapoint_14 1684320473 208924672,000
offline_datapoint_3 1684320473 6431055872,000
offline_datapoint_9 1684320473 184213504,000
offline_datapoint_25 1684320473 4513,000
offline_datapoint_19 1684320471 15,683
offline_datapoint_8 1684320471 14440,457
offline_datapoint_21 1684320473 184213504,000
offline_datapoint_1 1684320471 3,003
offline_datapoint_20 1684320473 3329236992,000
offline_datapoint_7 1684320473 4666957824,000
offline_datapoint_6 1684320471 0,000
offline_datapoint_12 1684320471 10,124
offline_datapoint_24 1684320471 4,566
offline_datapoint_13 1684320471 5535,925
offline_datapoint_18 1684320473 1,000
offline_datapoint_0 1684320471 8285,535
offline_datapoint_16 1684320471 1581,693
offline_datapoint_28 1684320471 1,198
offline_datapoint_17 1684320471 29,698
offline_datapoint_10 1684320471 97,627
offline_datapoint_29 1684320471 6,006
offline_datapoint_22 1684320471 17396,494
offline_datapoint_4 1684320471 0,024
offline_datapoint_11 1684320476 623212,000
offline_datapoint_5 1684320476 2251,000
offline_datapoint_26 1684320476 441729024,000
offline_datapoint_14 1684320476 209461248,000
offline_datapoint_3 1684320476 6325866496,000
offline_datapoint_9 1684320476 184492032,000
offline_datapoint_25 1684320476 4644,000
offline_datapoint_19 1684320474 29,255
offline_datapoint_8 1684320474 17607,475
offline_datapoint_21 1684320476 184492032,000
offline_datapoint_1 1684320474 6,316
offline_datapoint_20 1684320476 3232387072,000
offline_datapoint_7 1684320476 4488515584,000
offline_datapoint_6 1684320474 0,130
offline_datapoint_12 1684320474 14,222
offline_datapoint_24 1684320474 6,359
offline_datapoint_13 1684320474 7494,580
offline_datapoint_18 1684320476 0,000
offline_datapoint_0 1684320474 11430,364
offline_datapoint_16 1684320474 1334,423
offline_datapoint_28 1684320474 1,557
offline_datapoint_17 1684320474 39,893
offline_datapoint_10 1684320474 97,589
offline_datapoint_29 1684320474 8,644
offline_datapoint_22 1684320474 15428,267
offline_datapoint_4 1684320474 0,031
offline_datapoint_11 1684320479 623212,000
offline_datapoint_5 1684320479 2248,000
offline_datapoint_26 1684320479 441724928,000
offline_datapoint_14 1684320479 207859712,000
offline_datapoint_3 1684320479 6321684480,000
offline_datapoint_9 1684320479 183533568,000
offline_datapoint_25 1684320479 4654,000
offline_datapoint_19 1684320477 3,345
offline_datapoint_8 1684320477 9482,282
offline_datapoint_21 1684320479 183533568,000
offline_datapoint_1 1684320477 1,004
offline_datapoint_20 1684320479 3230756864,000
offline_datapoint_7 1684320479 4500496384,000
offline_datapoint_6 1684320477 0,000
offline_datapoint_12 1684320477 6,440
offline_datapoint_24 1684320477 3,659
offline_datapoint_13 1684320477 5200,770
offline_datapoint_18 1684320479 0,000
offline_datapoint_0 1684320477 8468,354
offline_datapoint_16 1684320477 980,810
offline_datapoint_28 1684320477 0,127
offline_datapoint_17 1684320477 21,075
offline_datapoint_10 1684320477 98,552
offline_datapoint_29 1684320477 0,669
offline_datapoint_22 1684320477 10142,476
offline_datapoint_4 1684320477 0,003
offline_datapoint_11 1684320482 623212,000
offline_datapoint_5 1684320482 2247,000
offline_datapoint_26 1684320482 441270272,000
offline_datapoint_14 1684320482 207994880,000
offline_datapoint_3 1684320482 6323318784,000
offline_datapoint_9 1684320482 184201216,000
offline_datapoint_25 1684320482 4641,000
offline_datapoint_19 1684320480 0,667
offline_datapoint_8 1684320480 9696,450
offline_datapoint_21 1684320482 184201216,000
offline_datapoint_1 1684320480 0,667
offline_datapoint_20 1684320482 3232505856,000
offline_datapoint_7 1684320482 4501762048,000
offline_datapoint_6 1684320480 0,000
offline_datapoint_12 1684320480 5,561
offline_datapoint_24 1684320480 2,345
offline_datapoint_13 1684320480 2953,819
offline_datapoint_18 1684320482 0,000
offline_datapoint_0 1684320480 4642,145
offline_datapoint_16 1684320480 1014,729
offline_datapoint_28 1684320480 0,116
offline_datapoint_17 1684320480 14,672
offline_datapoint_10 1684320480 99,286
offline_datapoint_29 1684320480 4,668
offline_datapoint_22 1684320480 12939,636
offline_datapoint_4 1684320480 0,002
offline_datapoint_11 1684320485 623212,000
offline_datapoint_5 1684320485 2257,000
offline_datapoint_26 1684320485 441323520,000
offline_datapoint_14 1684320485 206794752,000
offline_datapoint_3 1684320485 6322741248,000
offline_datapoint_9 1684320485 182935552,000
offline_datapoint_25 1684320485 4652,000
offline_datapoint_19 1684320483 3,327
offline_datapoint_8 1684320483 13716,003
offline_datapoint_21 1684320485 182935552,000
offline_datapoint_1 1684320483 0,998
offline_datapoint_20 1684320485 3233370112,000
offline_datapoint_7 1684320485 4502302720,000
offline_datapoint_6 1684320483 0,000
offline_datapoint_12 1684320483 9,154
offline_datapoint_24 1684320483 3,379
offline_datapoint_13 1684320483 2586,036
offline_datapoint_18 1684320485 0,000
offline_datapoint_0 1684320483 4207,922
offline_datapoint_16 1684320483 4415,524
offline_datapoint_28 1684320483 0,131
offline_datapoint_17 1684320483 15,637
offline_datapoint_10 1684320483 99,827
offline_datapoint_29 1684320483 2,994
offline_datapoint_22 1684320483 17778,383
offline_datapoint_4 1684320483 0,003
offline_datapoint_11 1684320488 623212,000
offline_datapoint_5 1684320488 2264,000
offline_datapoint_26 1684320488 441335808,000
offline_datapoint_14 1684320488 206843904,000
offline_datapoint_3 1684320488 6325354496,000
offline_datapoint_9 1684320488 182689792,000
offline_datapoint_25 1684320488 4649,000
offline_datapoint_19 1684320486 0,000
offline_datapoint_8 1684320486 9497,915
offline_datapoint_21 1684320488 182689792,000
offline_datapoint_1 1684320486 0,000
offline_datapoint_20 1684320488 3234598912,000
offline_datapoint_7 1684320488 4503212032,000
offline_datapoint_6 1684320486 0,000
offline_datapoint_12 1684320486 4,534
offline_datapoint_24 1684320486 1,304
offline_datapoint_13 1684320486 2220,721
offline_datapoint_18 1684320488 0,000
offline_datapoint_0 1684320486 3911,220
offline_datapoint_16 1684320486 596,666
offline_datapoint_28 1684320486 0,091
offline_datapoint_17 1684320486 11,686
offline_datapoint_10 1684320486 99,344
offline_datapoint_29 1684320486 3,339
offline_datapoint_22 1684320486 14862,629
offline_datapoint_4 1684320486 0,002
offline_datapoint_11 1684320491 623212,000
offline_datapoint_5 1684320491 2247,000
offline_datapoint_26 1684320491 441331712,000
offline_datapoint_14 1684320491 207081472,000
offline_datapoint_3 1684320491 6324371456,000
offline_datapoint_9 1684320491 183013376,000
offline_datapoint_25 1684320491 4652,000
offline_datapoint_19 1684320489 2,654
offline_datapoint_8 1684320489 8880,731
offline_datapoint_21 1684320491 183013376,000
offline_datapoint_1 1684320489 0,332
offline_datapoint_20 1684320491 3233787904,000
offline_datapoint_7 1684320491 4499881984,000
offline_datapoint_6 1684320489 0,000
offline_datapoint_12 1684320489 5,023
offline_datapoint_24 1684320489 1,425
offline_datapoint_13 1684320489 2310,569
offline_datapoint_18 1684320491 0,000
offline_datapoint_0 1684320489 3455,571
offline_datapoint_16 1684320489 556,248
offline_datapoint_28 1684320489 0,031
offline_datapoint_17 1684320489 4,312
offline_datapoint_10 1684320489 99,977
offline_datapoint_29 1684320489 0,663
