60 1684337821 4,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337822 4,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337823 4,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337824 4,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337825 4,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337826 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337827 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337828 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337829 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337830 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337831 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337832 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337833 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337834 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337835 9,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337836 11,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337837 11,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337838 11,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337839 11,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337840 11,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337841 11,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337842 11,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337843 11,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337844 11,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337845 11,800000 -1,000000 -101,000000 0,000000 0,000000
60 1684337846 14,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337847 14,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337848 14,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337849 14,000000 -1,000000 -101,000000 0,000000 0,000000
60 1684337850 14,000000 -1,000000 -101,000000 0,000000 0,000000
