45 1684337816 0,306655 0,600000 0,078085 0,422661 0,072097
48 1684337816 0,000267 0,600000 0,000257 0,000287 0,000000
45 1684337817 0,306655 0,600000 0,078085 0,422661 0,072097
48 1684337817 0,000267 0,600000 0,000257 0,000287 0,000000
45 1684337818 0,306655 0,600000 0,078085 0,422661 0,072097
45 1684337819 0,306655 0,600000 0,078085 0,422661 0,072097
48 1684337818 0,000267 0,600000 0,000257 0,000287 0,000000
48 1684337819 0,000267 0,600000 0,000257 0,000287 0,000000
45 1684337820 0,306655 0,600000 0,078085 0,422661 0,072097
48 1684337820 0,000267 0,600000 0,000257 0,000287 0,000000
45 1684337821 0,092646 0,400000 0,078212 0,107080 0,003517
51 1684337821 0,125213 0,600000 0,092185 0,156790 0,009825
48 1684337821 0,000270 0,400000 0,000259 0,000280 0,000000
54 1684337821 0,190453 0,200000 0,190453 0,190453 0,007254
45 1684337822 0,092646 0,400000 0,078212 0,107080 0,003517
51 1684337822 0,125213 0,600000 0,092185 0,156790 0,009825
48 1684337822 0,000270 0,400000 0,000259 0,000280 0,000000
54 1684337822 0,190453 0,200000 0,190453 0,190453 0,007254
45 1684337823 0,092646 0,400000 0,078212 0,107080 0,003517
51 1684337823 0,125213 0,600000 0,092185 0,156790 0,009825
48 1684337823 0,000270 0,400000 0,000259 0,000280 0,000000
54 1684337823 0,190453 0,200000 0,190453 0,190453 0,007254
45 1684337824 0,092646 0,400000 0,078212 0,107080 0,003517
51 1684337824 0,125213 0,600000 0,092185 0,156790 0,009825
48 1684337824 0,000270 0,400000 0,000259 0,000280 0,000000
54 1684337824 0,190453 0,200000 0,190453 0,190453 0,007254
45 1684337825 0,092646 0,400000 0,078212 0,107080 0,003517
51 1684337825 0,125213 0,600000 0,092185 0,156790 0,009825
48 1684337825 0,000270 0,400000 0,000259 0,000280 0,000000
54 1684337825 0,190453 0,200000 0,190453 0,190453 0,007254
45 1684337826 0,081691 0,600000 0,076409 0,090630 0,004028
71 1684337826 0,073995 0,200000 0,073995 0,073995 0,001095
51 1684337826 0,135828 0,400000 0,130918 0,140739 0,007389
48 1684337826 0,000233 0,600000 0,000222 0,000242 0,000000
77 1684337826 0,048573 0,200000 0,048573 0,048573 0,000472
80 1684337826 10,660347 0,200000 10,660347 10,660347 22,728601
74 1684337826 10,660379 0,200000 10,660379 10,660379 22,728737
45 1684337827 0,081691 0,600000 0,076409 0,090630 0,004028
71 1684337827 0,073995 0,200000 0,073995 0,073995 0,001095
51 1684337827 0,135828 0,400000 0,130918 0,140739 0,007389
48 1684337827 0,000233 0,600000 0,000222 0,000242 0,000000
77 1684337827 0,048573 0,200000 0,048573 0,048573 0,000472
80 1684337827 10,660347 0,200000 10,660347 10,660347 22,728601
74 1684337827 10,660379 0,200000 10,660379 10,660379 22,728737
45 1684337828 0,081691 0,600000 0,076409 0,090630 0,004028
71 1684337828 0,073995 0,200000 0,073995 0,073995 0,001095
51 1684337828 0,135828 0,400000 0,130918 0,140739 0,007389
48 1684337828 0,000233 0,600000 0,000222 0,000242 0,000000
77 1684337828 0,048573 0,200000 0,048573 0,048573 0,000472
80 1684337828 10,660347 0,200000 10,660347 10,660347 22,728601
74 1684337828 10,660379 0,200000 10,660379 10,660379 22,728737
45 1684337829 0,081691 0,600000 0,076409 0,090630 0,004028
71 1684337829 0,073995 0,200000 0,073995 0,073995 0,001095
51 1684337829 0,135828 0,400000 0,130918 0,140739 0,007389
48 1684337829 0,000233 0,600000 0,000222 0,000242 0,000000
77 1684337829 0,048573 0,200000 0,048573 0,048573 0,000472
80 1684337829 10,660347 0,200000 10,660347 10,660347 22,728601
74 1684337829 10,660379 0,200000 10,660379 10,660379 22,728737
45 1684337830 0,081691 0,600000 0,076409 0,090630 0,004028
71 1684337830 0,073995 0,200000 0,073995 0,073995 0,001095
51 1684337830 0,135828 0,400000 0,130918 0,140739 0,007389
48 1684337830 0,000233 0,600000 0,000222 0,000242 0,000000
77 1684337830 0,048573 0,200000 0,048573 0,048573 0,000472
80 1684337830 10,660347 0,200000 10,660347 10,660347 22,728601
74 1684337830 10,660379 0,200000 10,660379 10,660379 22,728737
45 1684337831 0,092329 0,400000 0,083259 0,101400 0,003443
90 1684337831 0,143852 0,200000 0,143852 0,143852 0,004139
51 1684337831 0,134244 0,400000 0,111804 0,156685 0,007410
84 1684337831 0,051171 0,200000 0,051171 0,051171 0,000524
48 1684337831 0,000236 0,400000 0,000198 0,000274 0,000000
87 1684337831 0,068324 0,200000 0,068324 0,068324 0,000934
54 1684337831 0,129718 0,600000 0,114474 0,140866 0,010171
45 1684337832 0,092329 0,400000 0,083259 0,101400 0,003443
90 1684337832 0,143852 0,200000 0,143852 0,143852 0,004139
51 1684337832 0,134244 0,400000 0,111804 0,156685 0,007410
84 1684337832 0,051171 0,200000 0,051171 0,051171 0,000524
48 1684337832 0,000236 0,400000 0,000198 0,000274 0,000000
87 1684337832 0,068324 0,200000 0,068324 0,068324 0,000934
54 1684337832 0,129718 0,600000 0,114474 0,140866 0,010171
45 1684337833 0,092329 0,400000 0,083259 0,101400 0,003443
90 1684337833 0,143852 0,200000 0,143852 0,143852 0,004139
51 1684337833 0,134244 0,400000 0,111804 0,156685 0,007410
84 1684337833 0,051171 0,200000 0,051171 0,051171 0,000524
48 1684337833 0,000236 0,400000 0,000198 0,000274 0,000000
87 1684337833 0,068324 0,200000 0,068324 0,068324 0,000934
54 1684337833 0,129718 0,600000 0,114474 0,140866 0,010171
45 1684337834 0,092329 0,400000 0,083259 0,101400 0,003443
90 1684337834 0,143852 0,200000 0,143852 0,143852 0,004139
51 1684337834 0,134244 0,400000 0,111804 0,156685 0,007410
84 1684337834 0,051171 0,200000 0,051171 0,051171 0,000524
48 1684337834 0,000236 0,400000 0,000198 0,000274 0,000000
87 1684337834 0,068324 0,200000 0,068324 0,068324 0,000934
54 1684337834 0,129718 0,600000 0,114474 0,140866 0,010171
45 1684337835 0,092329 0,400000 0,083259 0,101400 0,003443
90 1684337835 0,143852 0,200000 0,143852 0,143852 0,004139
51 1684337835 0,134244 0,400000 0,111804 0,156685 0,007410
84 1684337835 0,051171 0,200000 0,051171 0,051171 0,000524
48 1684337835 0,000236 0,400000 0,000198 0,000274 0,000000
87 1684337835 0,068324 0,200000 0,068324 0,068324 0,000934
54 1684337835 0,129718 0,600000 0,114474 0,140866 0,010171
45 1684337836 0,082078 0,600000 0,080566 0,084398 0,004044
90 1684337836 0,126953 0,200000 0,126953 0,126953 0,003223
71 1684337836 0,078310 0,200000 0,078310 0,078310 0,001227
51 1684337836 0,121621 0,400000 0,098422 0,144820 0,006132
93 1684337836 0,042745 0,200000 0,042745 0,042745 0,000365
96 1684337836 0,059809 0,200000 0,059809 0,059809 0,000715
48 1684337836 0,000231 0,600000 0,000203 0,000260 0,000000
99 1684337836 0,050168 0,200000 0,050168 0,050168 0,000503
77 1684337836 0,048508 0,200000 0,048508 0,048508 0,000471
80 1684337836 10,331739 0,200000 10,331739 10,331739 21,348967
74 1684337836 10,331767 0,200000 10,331767 10,331767 21,349082
45 1684337837 0,082078 0,600000 0,080566 0,084398 0,004044
90 1684337837 0,126953 0,200000 0,126953 0,126953 0,003223
71 1684337837 0,078310 0,200000 0,078310 0,078310 0,001227
51 1684337837 0,121621 0,400000 0,098422 0,144820 0,006132
93 1684337837 0,042745 0,200000 0,042745 0,042745 0,000365
96 1684337837 0,059809 0,200000 0,059809 0,059809 0,000715
48 1684337837 0,000231 0,600000 0,000203 0,000260 0,000000
99 1684337837 0,050168 0,200000 0,050168 0,050168 0,000503
77 1684337837 0,048508 0,200000 0,048508 0,048508 0,000471
80 1684337837 10,331739 0,200000 10,331739 10,331739 21,348967
74 1684337837 10,331767 0,200000 10,331767 10,331767 21,349082
45 1684337838 0,082078 0,600000 0,080566 0,084398 0,004044
90 1684337838 0,126953 0,200000 0,126953 0,126953 0,003223
71 1684337838 0,078310 0,200000 0,078310 0,078310 0,001227
51 1684337838 0,121621 0,400000 0,098422 0,144820 0,006132
93 1684337838 0,042745 0,200000 0,042745 0,042745 0,000365
96 1684337838 0,059809 0,200000 0,059809 0,059809 0,000715
48 1684337838 0,000231 0,600000 0,000203 0,000260 0,000000
99 1684337838 0,050168 0,200000 0,050168 0,050168 0,000503
77 1684337838 0,048508 0,200000 0,048508 0,048508 0,000471
80 1684337838 10,331739 0,200000 10,331739 10,331739 21,348967
74 1684337838 10,331767 0,200000 10,331767 10,331767 21,349082
45 1684337839 0,082078 0,600000 0,080566 0,084398 0,004044
90 1684337839 0,126953 0,200000 0,126953 0,126953 0,003223
71 1684337839 0,078310 0,200000 0,078310 0,078310 0,001227
51 1684337839 0,121621 0,400000 0,098422 0,144820 0,006132
93 1684337839 0,042745 0,200000 0,042745 0,042745 0,000365
96 1684337839 0,059809 0,200000 0,059809 0,059809 0,000715
48 1684337839 0,000231 0,600000 0,000203 0,000260 0,000000
99 1684337839 0,050168 0,200000 0,050168 0,050168 0,000503
77 1684337839 0,048508 0,200000 0,048508 0,048508 0,000471
80 1684337839 10,331739 0,200000 10,331739 10,331739 21,348967
74 1684337839 10,331767 0,200000 10,331767 10,331767 21,349082
45 1684337840 0,082078 0,600000 0,080566 0,084398 0,004044
90 1684337840 0,126953 0,200000 0,126953 0,126953 0,003223
