1684348616	0	1684348618
1684348618	2	1684348620
1684348620	3	1684348622
1684348622	4	1684348624
1684348624	5	1684348626
1684348626	6	1684348628
1684348628	7	1684348630
1684348630	8	1684348632
1684348632	9	1684348634
1684348634	10	1684348636
1684348636	11	1684348638
1684348638	12	1684348640
1684348640	13	1684348642
1684348642	14	1684348644
1684348644	15	1684348646
1684348646	16	1684348648
1684348648	17	1684348650
1684348650	18	1684348652
1684348652	19	1684348654
1684348654	20	1684348657
1684348657	21	1684348659
1684348659	22	1684348661
1684348661	23	1684348663
1684348663	24	1684348665
1684348665	25	1684348667
1684348667	26	1684348669
1684348669	27	1684348671
1684348671	28	1684348673
1684348673	29	1684348675
1684348675	30	1684348677
1684348677	31	1684348679
1684348679	32	1684348681
1684348681	33	1684348683
1684348683	34	1684348685
1684348685	35	1684348687
1684348687	36	1684352409
1684352409	35	1684352413
1684352413	34	1684352416
1684352416	33	1684352417
1684352417	32	1684352419
1684352419	31	1684352420
1684352420	30	1684352422
1684352422	29	1684352426
1684352426	28	1684352428
1684352428	27	1684352429
1684352429	26	1684352435
1684352435	25	1684352437
1684352437	23	1684352440
1684352440	22	1684352443
1684352443	21	1684352445
1684352445	19	1684352447
1684352447	18	1684352448
1684352448	17	1684352455
1684352455	16	1684352463
1684352463	15	1684352469
1684352469	14	1684352471
1684352471	13	1684352473
1684352473	12	1684352479
1684352479	11	1684352483
1684352483	9	1684352487
1684352487	8	1684352491
1684352491	6	1684352495
1684352495	5	1684352504
1684352504	4	1684352507
1684352507	3	1684352515
1684352515	2	1684352523
1684352523	1	1684352535
