1684331264	0	1684331265
1684331265	1	1684331267
1684331267	2	1684331269
1684331269	3	1684331271
1684331271	4	1684331273
1684331273	5	1684331275
1684331275	6	1684331277
1684331277	7	1684331279
1684331279	8	1684331281
1684331281	9	1684331283
1684331283	10	1684332603
1684332603	11	1684332605
1684332605	12	1684332607
1684332607	13	1684332609
1684332609	14	1684332611
1684332611	15	1684332613
1684332613	16	1684332615
1684332615	17	1684332617
1684332617	18	1684332619
1684332619	19	1684332621
1684332621	20	1684333941
1684333941	21	1684333944
1684333944	22	1684333946
1684333946	23	1684333948
1684333948	24	1684333950
1684333950	25	1684333952
1684333952	26	1684333954
1684333954	27	1684333956
1684333956	28	1684333958
1684333958	29	1684333960
1684333960	30	1684335280
1684335280	31	1684335282
1684335282	32	1684335284
1684335284	33	1684335286
1684335286	34	1684335288
1684335288	35	1684335290
1684335290	36	1684335292
1684335292	37	1684335294
1684335294	38	1684335296
1684335296	39	1684335298
1684335298	40	1684336618
1684336618	41	1684336620
1684336620	42	1684336622
1684336622	43	1684336624
1684336624	44	1684336626
1684336626	45	1684336628
1684336628	46	1684336630
1684336630	47	1684336632
1684336632	48	1684336634
1684336634	49	1684336637
1684336637	50	1684337958
1684337958	48	1684337960
1684337960	47	1684337961
1684337961	46	1684337962
1684337962	45	1684337963
1684337963	43	1684337964
1684337964	42	1684337966
1684337966	40	1684337967
1684337967	39	1684337968
1684337968	38	1684337972
1684337972	37	1684337974
1684337974	34	1684337977
1684337977	33	1684337978
1684337978	32	1684337979
1684337979	29	1684337981
1684337981	26	1684337982
1684337982	25	1684337984
1684337984	24	1684337985
1684337985	22	1684337986
1684337986	21	1684337989
1684337989	20	1684337996
1684337996	19	1684337998
1684337998	18	1684338004
1684338004	17	1684338011
1684338011	16	1684338012
1684338012	15	1684338030
1684338030	14	1684338036
1684338036	13	1684338042
1684338042	12	1684338045
1684338045	11	1684338048
1684338048	10	1684338057
1684338057	9	1684338073
1684338073	8	1684338085
1684338085	7	1684338092
1684338092	6	1684338104
1684338104	5	1684338107
1684338107	4	1684338119
1684338119	3	1684338138
1684338138	2	1684338150
1684338150	1	1684338174
