11 1684168402 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168403 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168404 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168405 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168406 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168407 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168408 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168409 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168410 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168411 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168412 2,200000 -1,000000 -101,000000 0,000000 0,000000
11 1684168413 2,200000 -1,000000 -101,000000 0,000000 0,000000
11 1684168414 2,200000 -1,000000 -101,000000 0,000000 0,000000
11 1684168415 2,200000 -1,000000 -101,000000 0,000000 0,000000
11 1684168416 2,200000 -1,000000 -101,000000 0,000000 0,000000
11 1684168417 2,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168418 2,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168419 2,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168420 2,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168421 2,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168422 2,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168423 2,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168424 2,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168425 2,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168426 2,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168427 3,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168428 3,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168429 3,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168430 3,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168431 3,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168432 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168433 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168434 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168435 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168436 1,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168437 1,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168438 1,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168439 1,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168440 1,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168441 1,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168442 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168443 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168444 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168445 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168446 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168447 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168448 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168449 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168450 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168451 0,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168452 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168453 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168454 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168455 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168456 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168457 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168458 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168459 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168460 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168461 0,800000 -1,000000 -101,000000 0,000000 0,000000
11 1684168462 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168463 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168464 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168465 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168466 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168467 1,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168468 1,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168469 1,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168470 1,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168471 1,600000 -1,000000 -101,000000 0,000000 0,000000
11 1684168472 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168473 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168474 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168475 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168476 0,400000 -1,000000 -101,000000 0,000000 0,000000
11 1684168477 1,000000 -1,000000 -101,000000 0,000000 0,000000
11 1684168478 1,000000 -1,000000 -101,000000 0,000000 0,000000
