36 1684168403 0,000000 0,000000 -101,000000 0,000000 0,000000
36 1684168404 0,000000 0,000000 -101,000000 0,000000 0,000000
36 1684168405 0,000000 0,000000 -101,000000 0,000000 0,000000
36 1684168406 0,000000 0,000000 -101,000000 0,000000 0,000000
36 1684168407 4,000000 0,400000 1,600000 1,600000 -20,200000
36 1684168408 4,000000 0,400000 3,200000 3,200000 -20,200000
36 1684168409 4,000000 0,400000 4,800000 4,800000 -20,200000
36 1684168410 4,000000 0,400000 6,400000 6,400000 -20,200000
36 1684168411 4,000000 0,400000 8,000000 8,000000 -20,200000
36 1684168412 1,625000 1,600000 10,600000 10,600000 -20,200000
36 1684168413 1,625000 1,600000 13,200000 13,200000 -20,200000
36 1684168414 1,625000 1,600000 15,800000 15,800000 -20,200000
36 1684168415 1,625000 1,600000 18,400000 18,400000 -20,200000
36 1684168416 1,625000 1,600000 21,000000 21,000000 -20,200000
36 1684168417 0,785714 2,800000 23,200000 23,200000 -20,200000
36 1684168418 0,785714 2,800000 25,400000 25,400000 -20,200000
36 1684168419 0,785714 2,800000 27,600000 27,600000 -20,200000
36 1684168420 0,785714 2,800000 29,800000 29,800000 -20,200000
36 1684168421 0,785714 2,800000 32,000000 32,000000 -20,200000
36 1684168422 0,454545 4,400000 34,000000 34,000000 -20,200000
36 1684168423 0,454545 4,400000 36,000000 36,000000 -20,200000
36 1684168424 0,454545 4,400000 38,000000 38,000000 -20,200000
36 1684168425 0,454545 4,400000 40,000000 40,000000 -20,200000
36 1684168426 0,454545 4,400000 42,000000 42,000000 -20,200000
36 1684168427 -0,257143 7,000000 40,200000 40,200000 -20,200000
36 1684168428 -0,257143 7,000000 38,400000 38,400000 -20,200000
36 1684168429 -0,257143 7,000000 36,600000 36,600000 -20,200000
36 1684168430 -0,257143 7,000000 34,800000 34,800000 -20,200000
36 1684168431 -0,257143 7,000000 33,000000 33,000000 -20,200000
36 1684168432 -0,146341 8,200000 31,800000 31,800000 -20,200000
36 1684168433 -0,146341 8,200000 30,600000 30,600000 -20,200000
36 1684168434 -0,146341 8,200000 29,400000 29,400000 -20,200000
36 1684168435 -0,146341 8,200000 28,200000 28,200000 -20,200000
36 1684168436 -0,146341 8,200000 27,000000 27,000000 -20,200000
36 1684168437 -0,066667 9,000000 26,400000 26,400000 -20,200000
36 1684168438 -0,066667 9,000000 25,800000 25,800000 -20,200000
36 1684168439 -0,066667 9,000000 25,200000 25,200000 -20,200000
36 1684168440 -0,066667 9,000000 24,600000 24,600000 -20,200000
36 1684168441 -0,066667 9,000000 24,000000 24,000000 -20,200000
36 1684168442 0,063830 9,400000 24,600000 24,600000 -20,200000
36 1684168443 0,063830 9,400000 25,200000 25,200000 -20,200000
36 1684168444 0,063830 9,400000 25,800000 25,800000 -20,200000
36 1684168445 0,063830 9,400000 26,400000 26,400000 -20,200000
36 1684168446 0,063830 9,400000 27,000000 27,000000 -20,200000
36 1684168447 0,000000 9,600000 27,000000 27,000000 -20,200000
36 1684168448 0,000000 9,600000 27,000000 27,000000 -20,200000
36 1684168449 0,000000 9,600000 27,000000 27,000000 -20,200000
36 1684168450 0,000000 9,600000 27,000000 27,000000 -20,200000
36 1684168451 0,000000 9,600000 27,000000 27,000000 -20,200000
36 1684168452 0,060000 10,000000 27,600000 27,600000 -20,200000
36 1684168453 0,060000 10,000000 28,200000 28,200000 -20,200000
36 1684168454 0,060000 10,000000 28,800000 28,800000 -20,200000
36 1684168455 0,060000 10,000000 29,400000 29,400000 -20,200000
36 1684168456 0,060000 10,000000 30,000000 30,000000 -20,200000
36 1684168457 -0,096154 10,400000 29,000000 29,000000 -20,200000
36 1684168458 -0,096154 10,400000 28,000000 28,000000 -20,200000
36 1684168459 -0,096154 10,400000 27,000000 27,000000 -20,200000
36 1684168460 -0,096154 10,400000 26,000000 26,000000 -20,200000
36 1684168461 -0,096154 10,400000 25,000000 25,000000 -20,200000
36 1684168462 0,000000 11,000000 25,000000 25,000000 -20,200000
36 1684168463 0,000000 11,000000 25,000000 25,000000 -20,200000
36 1684168464 0,000000 11,000000 25,000000 25,000000 -20,200000
36 1684168465 0,000000 11,000000 25,000000 25,000000 -20,200000
36 1684168466 0,000000 11,000000 25,000000 25,000000 -20,200000
36 1684168467 0,131148 12,200000 26,600000 26,600000 -20,200000
36 1684168468 0,131148 12,200000 28,200000 28,200000 -20,200000
36 1684168469 0,131148 12,200000 29,800000 29,800000 -20,200000
36 1684168470 0,131148 12,200000 31,400000 31,400000 -20,200000
36 1684168471 0,131148 12,200000 33,000000 33,000000 -20,200000
36 1684168472 -0,079365 12,600000 32,000000 32,000000 -20,200000
36 1684168473 -0,079365 12,600000 31,000000 31,000000 -20,200000
36 1684168474 -0,079365 12,600000 30,000000 30,000000 -20,200000
36 1684168475 -0,079365 12,600000 29,000000 29,000000 -20,200000
36 1684168476 -0,079365 12,600000 28,000000 28,000000 -20,200000
36 1684168477 -0,045455 13,200000 27,400000 27,400000 -20,200000
36 1684168478 -0,045455 13,200000 26,800000 26,800000 -20,200000
36 1684168479 -0,045455 13,200000 26,200000 26,200000 -20,200000
36 1684168480 -0,045455 13,200000 25,600000 25,600000 -20,200000
36 1684168481 -0,045455 13,200000 25,000000 25,000000 -20,200000
36 1684168482 0,043478 13,800000 25,600000 25,600000 -20,200000
36 1684168483 0,043478 13,800000 26,200000 26,200000 -20,200000
36 1684168484 0,043478 13,800000 26,800000 26,800000 -20,200000
36 1684168485 0,043478 13,800000 27,400000 27,400000 -20,200000
36 1684168486 0,043478 13,800000 28,000000 28,000000 -20,200000
36 1684168487 0,028571 14,000000 28,400000 28,400000 -20,200000
36 1684168488 0,028571 14,000000 28,800000 28,800000 -20,200000
36 1684168489 0,028571 14,000000 29,200000 29,200000 -20,200000
36 1684168490 0,028571 14,000000 29,600000 29,600000 -20,200000
36 1684168491 0,028571 14,000000 30,000000 30,000000 -20,200000
36 1684168492 -0,027778 14,400000 29,600000 29,600000 -20,200000
36 1684168493 -0,027778 14,400000 29,200000 29,200000 -20,200000
36 1684168494 -0,027778 14,400000 28,800000 28,800000 -20,200000
36 1684168495 -0,027778 14,400000 28,400000 28,400000 -20,200000
36 1684168496 -0,027778 14,400000 28,000000 28,000000 -20,200000
36 1684168497 0,000000 15,000000 28,000000 28,000000 -20,200000
36 1684168498 0,000000 15,000000 28,000000 28,000000 -20,200000
36 1684168499 0,000000 15,000000 28,000000 28,000000 -20,200000
36 1684168500 0,000000 15,000000 28,000000 28,000000 -20,200000
36 1684168501 0,000000 15,000000 28,000000 28,000000 -20,200000
36 1684168502 0,037037 16,200000 28,600000 28,600000 -20,200000
36 1684168503 0,037037 16,200000 29,200000 29,200000 -20,200000
36 1684168504 0,037037 16,200000 29,800000 29,800000 -20,200000
36 1684168505 0,037037 16,200000 30,400000 30,400000 -20,200000
36 1684168506 0,037037 16,200000 31,000000 31,000000 -20,200000
36 1684168507 0,058140 17,200000 32,000000 32,000000 -20,200000
36 1684168508 0,058140 17,200000 33,000000 33,000000 -20,200000
36 1684168509 0,058140 17,200000 34,000000 34,000000 -20,200000
36 1684168510 0,058140 17,200000 35,000000 35,000000 -20,200000
36 1684168511 0,058140 17,200000 36,000000 36,000000 -20,200000
36 1684168512 -0,077778 18,000000 34,600000 34,600000 -20,200000
36 1684168513 -0,077778 18,000000 33,200000 33,200000 -20,200000
36 1684168514 -0,077778 18,000000 31,800000 31,800000 -20,200000
36 1684168515 -0,077778 18,000000 30,400000 30,400000 -20,200000
36 1684168516 -0,077778 18,000000 29,000000 29,000000 -20,200000
36 1684168517 -0,010753 18,600000 28,800000 28,800000 -20,200000
36 1684168518 -0,010753 18,600000 28,600000 28,600000 -20,200000
