13 1684168402 0,110758 0,400000 0,083072 0,138444 0,005214
16 1684168402 0,000263 0,400000 0,000248 0,000278 0,000000
13 1684168403 0,110758 0,400000 0,083072 0,138444 0,005214
16 1684168403 0,000263 0,400000 0,000248 0,000278 0,000000
13 1684168404 0,110758 0,400000 0,083072 0,138444 0,005214
16 1684168404 0,000263 0,400000 0,000248 0,000278 0,000000
13 1684168405 0,110758 0,400000 0,083072 0,138444 0,005214
16 1684168405 0,000263 0,400000 0,000248 0,000278 0,000000
13 1684168406 0,110758 0,400000 0,083072 0,138444 0,005214
16 1684168406 0,000263 0,400000 0,000248 0,000278 0,000000
13 1684168407 0,091933 0,600000 0,088054 0,098174 0,005083
19 1684168407 0,119304 0,400000 0,095956 0,142653 0,005911
16 1684168407 0,000300 0,600000 0,000270 0,000322 0,000000
22 1684168407 0,143956 0,200000 0,143956 0,143956 0,004145
13 1684168408 0,091933 0,600000 0,088054 0,098174 0,005083
19 1684168408 0,119304 0,400000 0,095956 0,142653 0,005911
16 1684168408 0,000300 0,600000 0,000270 0,000322 0,000000
22 1684168408 0,143956 0,200000 0,143956 0,143956 0,004145
13 1684168409 0,091933 0,600000 0,088054 0,098174 0,005083
19 1684168409 0,119304 0,400000 0,095956 0,142653 0,005911
16 1684168409 0,000300 0,600000 0,000270 0,000322 0,000000
22 1684168409 0,143956 0,200000 0,143956 0,143956 0,004145
13 1684168410 0,091933 0,600000 0,088054 0,098174 0,005083
19 1684168410 0,119304 0,400000 0,095956 0,142653 0,005911
16 1684168410 0,000300 0,600000 0,000270 0,000322 0,000000
22 1684168410 0,143956 0,200000 0,143956 0,143956 0,004145
13 1684168411 0,091933 0,600000 0,088054 0,098174 0,005083
19 1684168411 0,119304 0,400000 0,095956 0,142653 0,005911
16 1684168411 0,000300 0,600000 0,000270 0,000322 0,000000
22 1684168411 0,143956 0,200000 0,143956 0,143956 0,004145
13 1684168412 0,081148 0,400000 0,079107 0,083188 0,002636
39 1684168412 0,077810 0,200000 0,077810 0,077810 0,001211
19 1684168412 0,116420 0,600000 0,095232 0,158210 0,008656
16 1684168412 0,000233 0,400000 0,000214 0,000252 0,000000
45 1684168412 0,051660 0,200000 0,051660 0,051660 0,000534
48 1684168412 10,319300 0,200000 10,319300 10,319300 21,297592
42 1684168412 10,319350 0,200000 10,319350 10,319350 21,297799
13 1684168413 0,081148 0,400000 0,079107 0,083188 0,002636
39 1684168413 0,077810 0,200000 0,077810 0,077810 0,001211
19 1684168413 0,116420 0,600000 0,095232 0,158210 0,008656
16 1684168413 0,000233 0,400000 0,000214 0,000252 0,000000
45 1684168413 0,051660 0,200000 0,051660 0,051660 0,000534
48 1684168413 10,319300 0,200000 10,319300 10,319300 21,297592
42 1684168413 10,319350 0,200000 10,319350 10,319350 21,297799
13 1684168414 0,081148 0,400000 0,079107 0,083188 0,002636
39 1684168414 0,077810 0,200000 0,077810 0,077810 0,001211
19 1684168414 0,116420 0,600000 0,095232 0,158210 0,008656
16 1684168414 0,000233 0,400000 0,000214 0,000252 0,000000
45 1684168414 0,051660 0,200000 0,051660 0,051660 0,000534
48 1684168414 10,319300 0,200000 10,319300 10,319300 21,297592
42 1684168414 10,319350 0,200000 10,319350 10,319350 21,297799
13 1684168415 0,081148 0,400000 0,079107 0,083188 0,002636
39 1684168415 0,077810 0,200000 0,077810 0,077810 0,001211
19 1684168415 0,116420 0,600000 0,095232 0,158210 0,008656
16 1684168415 0,000233 0,400000 0,000214 0,000252 0,000000
45 1684168415 0,051660 0,200000 0,051660 0,051660 0,000534
48 1684168415 10,319300 0,200000 10,319300 10,319300 21,297592
42 1684168415 10,319350 0,200000 10,319350 10,319350 21,297799
13 1684168416 0,081148 0,400000 0,079107 0,083188 0,002636
39 1684168416 0,077810 0,200000 0,077810 0,077810 0,001211
19 1684168416 0,116420 0,600000 0,095232 0,158210 0,008656
16 1684168416 0,000233 0,400000 0,000214 0,000252 0,000000
45 1684168416 0,051660 0,200000 0,051660 0,051660 0,000534
48 1684168416 10,319300 0,200000 10,319300 10,319300 21,297592
42 1684168416 10,319350 0,200000 10,319350 10,319350 21,297799
13 1684168417 0,080982 0,600000 0,080287 0,081690 0,003935
58 1684168417 0,126323 0,200000 0,126323 0,126323 0,003191
19 1684168417 0,094405 0,200000 0,094405 0,094405 0,001782
52 1684168417 0,050403 0,200000 0,050403 0,050403 0,000508
16 1684168417 0,000200 0,600000 0,000192 0,000213 0,000000
55 1684168417 0,043115 0,200000 0,043115 0,043115 0,000372
22 1684168417 0,117423 0,400000 0,095395 0,139451 0,005709
13 1684168418 0,080982 0,600000 0,080287 0,081690 0,003935
58 1684168418 0,126323 0,200000 0,126323 0,126323 0,003191
19 1684168418 0,094405 0,200000 0,094405 0,094405 0,001782
52 1684168418 0,050403 0,200000 0,050403 0,050403 0,000508
16 1684168418 0,000200 0,600000 0,000192 0,000213 0,000000
55 1684168418 0,043115 0,200000 0,043115 0,043115 0,000372
22 1684168418 0,117423 0,400000 0,095395 0,139451 0,005709
13 1684168419 0,080982 0,600000 0,080287 0,081690 0,003935
58 1684168419 0,126323 0,200000 0,126323 0,126323 0,003191
19 1684168419 0,094405 0,200000 0,094405 0,094405 0,001782
52 1684168419 0,050403 0,200000 0,050403 0,050403 0,000508
16 1684168419 0,000200 0,600000 0,000192 0,000213 0,000000
55 1684168419 0,043115 0,200000 0,043115 0,043115 0,000372
22 1684168419 0,117423 0,400000 0,095395 0,139451 0,005709
13 1684168420 0,080982 0,600000 0,080287 0,081690 0,003935
58 1684168420 0,126323 0,200000 0,126323 0,126323 0,003191
19 1684168420 0,094405 0,200000 0,094405 0,094405 0,001782
52 1684168420 0,050403 0,200000 0,050403 0,050403 0,000508
16 1684168420 0,000200 0,600000 0,000192 0,000213 0,000000
55 1684168420 0,043115 0,200000 0,043115 0,043115 0,000372
22 1684168420 0,117423 0,400000 0,095395 0,139451 0,005709
13 1684168421 0,080982 0,600000 0,080287 0,081690 0,003935
58 1684168421 0,126323 0,200000 0,126323 0,126323 0,003191
19 1684168421 0,094405 0,200000 0,094405 0,094405 0,001782
52 1684168421 0,050403 0,200000 0,050403 0,050403 0,000508
16 1684168421 0,000200 0,600000 0,000192 0,000213 0,000000
55 1684168421 0,043115 0,200000 0,043115 0,043115 0,000372
22 1684168421 0,117423 0,400000 0,095395 0,139451 0,005709
58 1684168422 0,126726 0,200000 0,126726 0,126726 0,003212
19 1684168422 0,094929 0,600000 0,094482 0,095709 0,005407
61 1684168422 0,043140 0,200000 0,043140 0,043140 0,000372
64 1684168422 0,051538 0,200000 0,051538 0,051538 0,000531
67 1684168422 0,045617 0,200000 0,045617 0,045617 0,000416
45 1684168422 0,048379 0,200000 0,048379 0,048379 0,000468
22 1684168422 0,113318 0,400000 0,099104 0,127531 0,005217
58 1684168423 0,126726 0,200000 0,126726 0,126726 0,003212
19 1684168423 0,094929 0,600000 0,094482 0,095709 0,005407
61 1684168423 0,043140 0,200000 0,043140 0,043140 0,000372
64 1684168423 0,051538 0,200000 0,051538 0,051538 0,000531
67 1684168423 0,045617 0,200000 0,045617 0,045617 0,000416
45 1684168423 0,048379 0,200000 0,048379 0,048379 0,000468
22 1684168423 0,113318 0,400000 0,099104 0,127531 0,005217
19 1684168424 0,094929 0,600000 0,094482 0,095709 0,005407
22 1684168424 0,113318 0,400000 0,099104 0,127531 0,005217
58 1684168424 0,126726 0,200000 0,126726 0,126726 0,003212
61 1684168424 0,043140 0,200000 0,043140 0,043140 0,000372
64 1684168424 0,051538 0,200000 0,051538 0,051538 0,000531
67 1684168424 0,045617 0,200000 0,045617 0,045617 0,000416
45 1684168424 0,048379 0,200000 0,048379 0,048379 0,000468
58 1684168425 0,126726 0,200000 0,126726 0,126726 0,003212
19 1684168425 0,094929 0,600000 0,094482 0,095709 0,005407
61 1684168425 0,043140 0,200000 0,043140 0,043140 0,000372
64 1684168425 0,051538 0,200000 0,051538 0,051538 0,000531
67 1684168425 0,045617 0,200000 0,045617 0,045617 0,000416
45 1684168425 0,048379 0,200000 0,048379 0,048379 0,000468
22 1684168425 0,113318 0,400000 0,099104 0,127531 0,005217
58 1684168426 0,126726 0,200000 0,126726 0,126726 0,003212
19 1684168426 0,094929 0,600000 0,094482 0,095709 0,005407
61 1684168426 0,043140 0,200000 0,043140 0,043140 0,000372
64 1684168426 0,051538 0,200000 0,051538 0,051538 0,000531
67 1684168426 0,045617 0,200000 0,045617 0,045617 0,000416
45 1684168426 0,048379 0,200000 0,048379 0,048379 0,000468
22 1684168426 0,113318 0,400000 0,099104 0,127531 0,005217
58 1684168427 0,126356 0,200000 0,126356 0,126356 0,003193
39 1684168427 0,077289 0,600000 0,076411 0,078232 0,003584
52 1684168427 0,050338 0,200000 0,050338 0,050338 0,000507
73 1684168427 0,124294 0,200000 0,124294 0,124294 0,003090
70 1684168427 20,569337 0,200000 20,569337 20,569337 84,619522
45 1684168427 0,048741 0,400000 0,048579 0,048903 0,000950
79 1684168427 25,709539 0,200000 25,709539 25,709539 132,196078
76 1684168427 20,486083 0,200000 20,486083 20,486083 83,935922
